epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,,,0,,,,,,0.8615008592605591
,,,1,,,,,,1.0607432126998901
0,0.7158822417259216,0.855555534362793,6,,,,,0.9357284307479858,
0,,,6,,,1.035637378692627,,,
1,,,9,,,,0.9703872203826904,,
,,,2,,,,,,0.7773854732513428
,,,3,,,,,,1.053322434425354
1,0.9027194976806641,0.9242424368858337,13,,,,,0.8801855444908142,
1,,,13,,,0.9410080909729004,,,
2,,,19,,,,0.8307721018791199,,
,,,4,,,,,,0.7194386720657349
,,,5,,,,,,1.0482609272003174
2,0.9225589036941528,0.9265350699424744,20,,,,,0.8419410586357117,
2,,,20,,,0.8840746879577637,,,
,,,6,,,,,,0.6811331510543823
,,,7,,,,,,1.029502034187317
3,0.9417197108268738,0.943355143070221,27,,,,,0.8109176754951477,
3,,,27,,,0.8273069858551025,,,
4,,,29,,,,0.8015062212944031,,
,,,8,,,,,,0.646287739276886
,,,9,,,,,,0.9991754293441772
4,0.9612794518470764,0.9649122953414917,34,,,,,0.7777557373046875,
4,,,34,,,0.7939343452453613,,,
5,,,39,,,,0.7062121629714966,,
,,,10,,,,,,0.6379968523979187
,,,11,,,,,,0.9748451113700867
5,0.9612794518470764,0.9649122953414917,41,,,,,0.7634893655776978,
5,,,41,,,0.766389012336731,,,
,,,12,,,,,,0.6429446339607239
,,,13,,,,,,0.956007182598114
6,0.941077470779419,0.9440789222717285,48,,,,,0.7595757842063904,
6,,,48,,,0.7465351819992065,,,
7,,,49,,,,0.727936863899231,,
,,,14,,,,,,0.6082717776298523
,,,15,,,,,,0.915867269039154
7,0.9803751707077026,0.9814814925193787,55,,,,,0.7228661179542542,
7,,,55,,,0.719211757183075,,,
8,,,59,,,,0.7452853918075562,,
,,,16,,,,,,0.6008243560791016
,,,17,,,,,,0.8753359913825989
8,0.9803751707077026,0.9814814925193787,62,,,,,0.703093409538269,
8,,,62,,,0.6996866464614868,,,
9,,,69,,,,0.6264016032218933,,
,,,18,,,,,,0.6033722162246704
,,,19,,,,,,0.8245490789413452
9,0.9803751707077026,0.9814814925193787,69,,,,,0.6857714056968689,
9,,,69,,,0.6719659566879272,,,
,,,20,,,,,,0.6117884516716003
,,,21,,,,,,0.7721098065376282
10,0.9607673287391663,0.9618736505508423,76,,,,,0.671515941619873,
10,,,76,,,0.6452608108520508,,,
11,,,79,,,,0.6675983667373657,,
,,,22,,,,,,0.6142791509628296
,,,23,,,,,,0.7162601947784424
11,0.9607843160629272,0.9607843160629272,83,,,,,0.65227210521698,
11,,,83,,,0.6234449744224548,,,
12,,,89,,,,0.5781893134117126,,
,,,24,,,,,,0.6279810667037964
,,,25,,,,,,0.6760400533676147
12,0.9607843160629272,0.9607843160629272,90,,,,,0.6458854079246521,
12,,,90,,,0.6072501540184021,,,
,,,26,,,,,,0.6283410787582397
,,,27,,,,,,0.6621254086494446
13,0.940565288066864,0.9410402774810791,97,,,,,0.6409274339675903,
13,,,97,,,0.590233325958252,,,
14,,,99,,,,0.5885718464851379,,
,,,28,,,,,,0.6263530850410461
,,,29,,,,,,0.6427157521247864
14,0.9202069640159607,0.9230822324752808,104,,,,,0.6324489712715149,
14,,,104,,,0.5792141556739807,,,
15,,,109,,,,0.6071938872337341,,
,,,30,,,,,,0.6222721934318542
,,,31,,,,,,0.6290452480316162
15,0.9202069640159607,0.9230822324752808,111,,,,,0.6247954964637756,
15,,,111,,,0.574650764465332,,,
,,,32,,,,,,0.612383246421814
,,,33,,,,,,0.6211240291595459
16,0.9202069640159607,0.9230822324752808,118,,,,,0.6156396269798279,
16,,,118,,,0.5696089863777161,,,
17,,,119,,,,0.561890184879303,,
,,,34,,,,,,0.6183338761329651
,,,35,,,,,,0.6184374690055847
17,0.9202069640159607,0.9230822324752808,125,,,,,0.6183724403381348,
17,,,125,,,0.5711342692375183,,,
18,,,129,,,,0.5561833381652832,,
,,,36,,,,,,0.6290206909179688
,,,37,,,,,,0.618704080581665
18,0.9202069640159607,0.9230822324752808,132,,,,,0.625177264213562,
18,,,132,,,0.5662842988967896,,,
19,,,139,,,,0.5546489953994751,,
,,,38,,,,,,0.6433221101760864
,,,39,,,,,,0.6235883235931396
19,0.9202069640159607,0.9230822324752808,139,,,,,0.6359702944755554,
19,,,139,,,0.5655423402786255,,,
,,,0,,0.6433221101760864,,,,
,,,1,,0.6235883235931396,,,,
20,,,140,0.6359702944755554,,,,,
