epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,,,0,,,,,,0.9797520637512207
,,,1,,,,,,1.1005876064300537
0,0.10928961634635925,0.06535948067903519,6,,,,,1.0247691869735718,
0,,,6,,,1.0646073818206787,,,
1,,,9,,,,1.0215908288955688,,
,,,2,,,,,,0.9299554228782654
,,,3,,,,,,1.0956286191940308
1,0.5421245694160461,0.7708333134651184,13,,,,,0.9916768074035645,
1,,,13,,,0.9559473395347595,,,
2,,,19,,,,0.8448060750961304,,
,,,4,,,,,,0.8451442718505859
,,,5,,,,,,1.0877643823623657
2,0.8950838446617126,0.883861243724823,20,,,,,0.9355321526527405,
2,,,20,,,0.8970555067062378,,,
,,,6,,,,,,0.7836323380470276
,,,7,,,,,,1.0757871866226196
3,0.9159885048866272,0.9052287340164185,27,,,,,0.8924742937088013,
3,,,27,,,0.840882420539856,,,
4,,,29,,,,0.8160387873649597,,
,,,8,,,,,,0.7410643100738525
,,,9,,,,,,1.0593899488449097
4,0.9323017597198486,0.9236111044883728,34,,,,,0.8596562147140503,
4,,,34,,,0.7953733205795288,,,
5,,,39,,,,0.7134724855422974,,
,,,10,,,,,,0.7172150015830994
,,,11,,,,,,1.0387778282165527
5,0.9323017597198486,0.9236111044883728,41,,,,,0.8370129466056824,
5,,,41,,,0.7587665319442749,,,
,,,12,,,,,,0.7045578360557556
,,,13,,,,,,1.0165008306503296
6,0.9323017597198486,0.9236111044883728,48,,,,,0.8207719326019287,
6,,,48,,,0.7384800910949707,,,
7,,,49,,,,0.7690989971160889,,
,,,14,,,,,,0.7015377283096313
,,,15,,,,,,0.9910407662391663
7,0.9574269652366638,0.9500890970230103,55,,,,,0.8093918561935425,
7,,,55,,,0.721802830696106,,,
8,,,59,,,,0.667704701423645,,
,,,16,,,,,,0.6974010467529297
,,,17,,,,,,0.9635809659957886
8,0.9574269652366638,0.9500890970230103,62,,,,,0.7965660691261292,
8,,,62,,,0.710521936416626,,,
9,,,69,,,,0.8558828234672546,,
,,,18,,,,,,0.6805810332298279
,,,19,,,,,,0.9299153685569763
9,0.9574269652366638,0.9500890970230103,69,,,,,0.7734702825546265,
9,,,69,,,0.7036985754966736,,,
,,,20,,,,,,0.6737657189369202
,,,21,,,,,,0.8847361207008362
10,0.9323017597198486,0.9236111044883728,76,,,,,0.7523625493049622,
10,,,76,,,0.6871556043624878,,,
11,,,79,,,,0.6809605956077576,,
,,,22,,,,,,0.6700389385223389
,,,23,,,,,,0.8296006917953491
11,0.9323017597198486,0.9236111044883728,83,,,,,0.7294834852218628,
11,,,83,,,0.6683498620986938,,,
12,,,89,,,,0.6614664793014526,,
,,,24,,,,,,0.6638362407684326
,,,25,,,,,,0.7700518369674683
12,0.9399350881576538,0.934974730014801,90,,,,,0.7034067511558533,
12,,,90,,,0.6468311548233032,,,
,,,26,,,,,,0.6553589105606079
,,,27,,,,,,0.7041913866996765
13,0.9399350881576538,0.934974730014801,97,,,,,0.6735513806343079,
13,,,97,,,0.6288869380950928,,,
14,,,99,,,,0.6310152411460876,,
,,,28,,,,,,0.6502760052680969
,,,29,,,,,,0.647503137588501
14,0.9492887854576111,0.9524999856948853,104,,,,,0.6492429971694946,
14,,,104,,,0.6092031002044678,,,
15,,,109,,,,0.5709637403488159,,
,,,30,,,,,,0.648300290107727
,,,31,,,,,,0.6108712553977966
15,0.9492887854576111,0.9524999856948853,111,,,,,0.6343562006950378,
15,,,111,,,0.5926406383514404,,,
,,,32,,,,,,0.6624385118484497
,,,33,,,,,,0.5838227272033691
16,0.9492887854576111,0.9524999856948853,118,,,,,0.6331502795219421,
16,,,118,,,0.5753001570701599,,,
17,,,119,,,,0.5967060327529907,,
,,,34,,,,,,0.6696524024009705
,,,35,,,,,,0.5698814988136292
17,0.9492887854576111,0.9524999856948853,125,,,,,0.6324828863143921,
17,,,125,,,0.569990336894989,,,
18,,,129,,,,0.5594698190689087,,
,,,36,,,,,,0.6668424010276794
,,,37,,,,,,0.5644633173942566
18,0.9492887854576111,0.9524999856948853,132,,,,,0.6287011504173279,
18,,,132,,,0.5636491179466248,,,
19,,,139,,,,0.5563209652900696,,
,,,38,,,,,,0.6688043475151062
,,,39,,,,,,0.5609177350997925
19,0.9254864454269409,0.9407051205635071,139,,,,,0.6286113262176514,
19,,,139,,,0.5628692507743835,,,
,,,0,,0.6688043475151062,,,,
,,,1,,0.5609177350997925,,,,
20,,,140,0.6286113262176514,,,,,
