epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,,,0,,,,,,0.909722089767456
,,,1,,,,,,1.097676157951355
0,0.6300426125526428,0.8045976758003235,6,,,,,0.9773855805397034,
0,,,6,,,1.0378124713897705,,,
1,,,9,,,,0.9756053686141968,,
,,,2,,,,,,0.834357500076294
,,,3,,,,,,1.0912344455718994
1,0.7529283165931702,0.8333333134651184,13,,,,,0.9268332123756409,
1,,,13,,,0.9433513879776001,,,
2,,,19,,,,0.8657637238502502,,
,,,4,,,,,,0.7549448609352112
,,,5,,,,,,1.081248164176941
2,0.8761904835700989,0.8888888955116272,20,,,,,0.8724141120910645,
2,,,20,,,0.8787372708320618,,,
,,,6,,,,,,0.7060501575469971
,,,7,,,,,,1.0667972564697266
3,0.8936600685119629,0.8925926089286804,27,,,,,0.8359191417694092,
3,,,27,,,0.8358051776885986,,,
4,,,29,,,,0.7524415850639343,,
,,,8,,,,,,0.6678038239479065
,,,9,,,,,,1.0480185747146606
4,0.9545683264732361,0.9563491940498352,34,,,,,0.8046810626983643,
4,,,34,,,0.7953131198883057,,,
5,,,39,,,,0.7748509049415588,,
,,,10,,,,,,0.6443942785263062
,,,11,,,,,,1.0269160270690918
5,0.9545683264732361,0.9563491940498352,41,,,,,0.782102108001709,
5,,,41,,,0.7718626260757446,,,
,,,12,,,,,,0.6357839703559875
,,,13,,,,,,1.000851035118103
6,0.9311249256134033,0.939393937587738,48,,,,,0.7672080993652344,
6,,,48,,,0.7476654648780823,,,
7,,,49,,,,0.7150388956069946,,
,,,14,,,,,,0.6150799989700317
,,,15,,,,,,0.9746443629264832
7,0.9545683264732361,0.9563491940498352,55,,,,,0.7445231676101685,
7,,,55,,,0.7271714210510254,,,
8,,,59,,,,0.71952885389328,,
,,,16,,,,,,0.6054188013076782
,,,17,,,,,,0.939488410949707
8,0.977142870426178,0.9743589758872986,62,,,,,0.7256839275360107,
8,,,62,,,0.71107017993927,,,
9,,,69,,,,0.667525053024292,,
,,,18,,,,,,0.6126193404197693
,,,19,,,,,,0.8922399878501892
9,0.9311249256134033,0.939393937587738,69,,,,,0.7132827639579773,
9,,,69,,,0.6920011043548584,,,
,,,20,,,,,,0.6130897998809814
,,,21,,,,,,0.8478156924247742
10,0.9311249256134033,0.939393937587738,76,,,,,0.6975910663604736,
10,,,76,,,0.6847712993621826,,,
11,,,79,,,,0.6536010503768921,,
,,,22,,,,,,0.6208231449127197
,,,23,,,,,,0.7920083999633789
11,0.9311249256134033,0.939393937587738,83,,,,,0.6824498176574707,
11,,,83,,,0.6604657769203186,,,
12,,,89,,,,0.6352519392967224,,
,,,24,,,,,,0.599179208278656
,,,25,,,,,,0.7429956197738647
12,0.977142870426178,0.9743589758872986,90,,,,,0.6509531140327454,
12,,,90,,,0.6353424787521362,,,
,,,26,,,,,,0.5925886034965515
,,,27,,,,,,0.6978012323379517
13,0.9537037014961243,0.9537037014961243,97,,,,,0.6304651498794556,
13,,,97,,,0.6154453754425049,,,
14,,,99,,,,0.5971550345420837,,
,,,28,,,,,,0.5853493809700012
,,,29,,,,,,0.6607957482337952
14,0.977142870426178,0.9743589758872986,104,,,,,0.612510085105896,
14,,,104,,,0.6021936535835266,,,
15,,,109,,,,0.5977939963340759,,
,,,30,,,,,,0.5847833156585693
,,,31,,,,,,0.6367656588554382
15,0.977142870426178,0.9743589758872986,111,,,,,0.6034969091415405,
15,,,111,,,0.5882430076599121,,,
,,,32,,,,,,0.588972270488739
,,,33,,,,,,0.6223752498626709
16,0.977142870426178,0.9743589758872986,118,,,,,0.6009973287582397,
16,,,118,,,0.5814664959907532,,,
17,,,119,,,,0.5717583298683167,,
,,,34,,,,,,0.599783718585968
,,,35,,,,,,0.6130642890930176
17,0.9298731684684753,0.9353054165840149,125,,,,,0.6045647263526917,
17,,,125,,,0.5774955153465271,,,
18,,,129,,,,0.5602047443389893,,
,,,36,,,,,,0.6054085493087769
,,,37,,,,,,0.6071450710296631
18,0.9353054165840149,0.9511784315109253,132,,,,,0.6060336828231812,
18,,,132,,,0.573479950428009,,,
19,,,139,,,,0.559238076210022,,
,,,38,,,,,,0.6057246923446655
,,,39,,,,,,0.6041061878204346
19,0.9353054165840149,0.9511784315109253,139,,,,,0.6051419973373413,
19,,,139,,,0.5713894963264465,,,
,,,0,,0.6057246923446655,,,,
,,,1,,0.6041061878204346,,,,
20,,,140,0.6051419973373413,,,,,
