epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,,,0,,,,,,0.8476583361625671
,,,1,,,,,,0.9460393190383911
0,0.345908522605896,0.3018518388271332,6,,,,,0.8843101263046265,
0,,,6,,,1.0541160106658936,,,
1,,,9,,,,0.9313960075378418,,
,,,2,,,,,,0.761599063873291
,,,3,,,,,,0.9362461566925049
1,0.47031038999557495,0.41588297486305237,13,,,,,0.8266636729240417,
1,,,13,,,0.9590646028518677,,,
2,,,19,,,,0.9581626653671265,,
,,,4,,,,,,0.704256534576416
,,,5,,,,,,0.9603486061096191
2,0.5587992668151855,0.5046296119689941,20,,,,,0.7996633648872375,
2,,,20,,,0.911484956741333,,,
,,,6,,,,,,0.6556989550590515
,,,7,,,,,,0.9207504391670227
3,0.9575816988945007,0.9652777910232544,27,,,,,0.7544435858726501,
3,,,27,,,0.8566306233406067,,,
4,,,29,,,,0.7570533156394958,,
,,,8,,,,,,0.6303458213806152
,,,9,,,,,,0.9091827273368835
4,0.9575816988945007,0.9652777910232544,34,,,,,0.7342262268066406,
4,,,34,,,0.816899299621582,,,
5,,,39,,,,0.7708271145820618,,
,,,10,,,,,,0.6131550073623657
,,,11,,,,,,0.9038364887237549
5,0.9575816988945007,0.9652777910232544,41,,,,,0.7214481234550476,
5,,,41,,,0.794536828994751,,,
,,,12,,,,,,0.5973389148712158
,,,13,,,,,,0.8886116147041321
6,0.9754062294960022,0.9803921580314636,48,,,,,0.7058522701263428,
6,,,48,,,0.7667112350463867,,,
7,,,49,,,,0.7389904856681824,,
,,,14,,,,,,0.5875253677368164
,,,15,,,,,,0.8531492948532104
7,0.9754062294960022,0.9803921580314636,55,,,,,0.6864833235740662,
7,,,55,,,0.7461251020431519,,,
8,,,59,,,,0.7749725580215454,,
,,,16,,,,,,0.5887454748153687
,,,17,,,,,,0.8042734265327454
8,0.9575816988945007,0.9652777910232544,62,,,,,0.6690401434898376,
8,,,62,,,0.7139217257499695,,,
9,,,69,,,,0.6299313306808472,,
,,,18,,,,,,0.5996532440185547
,,,19,,,,,,0.7588397264480591
9,0.93287193775177,0.9361110925674438,69,,,,,0.6589579582214355,
9,,,69,,,0.6814326047897339,,,
,,,20,,,,,,0.6047786474227905
,,,21,,,,,,0.7184939384460449
10,0.93287193775177,0.9361110925674438,76,,,,,0.6471431851387024,
10,,,76,,,0.6520448923110962,,,
11,,,79,,,,0.6041069030761719,,
,,,22,,,,,,0.5995584726333618
,,,23,,,,,,0.6999258995056152
11,0.9345117807388306,0.9330065250396729,83,,,,,0.6369502544403076,
11,,,83,,,0.6176748871803284,,,
12,,,89,,,,0.6003780961036682,,
,,,24,,,,,,0.6009684801101685
,,,25,,,,,,0.687097430229187
12,0.9345117807388306,0.9330065250396729,90,,,,,0.6330557465553284,
12,,,90,,,0.5970463752746582,,,
,,,26,,,,,,0.6037119626998901
,,,27,,,,,,0.6765440106391907
13,0.9178550243377686,0.9166666865348816,97,,,,,0.6308454871177673,
13,,,97,,,0.5773103833198547,,,
14,,,99,,,,0.5653135180473328,,
,,,28,,,,,,0.5936159491539001
,,,29,,,,,,0.6646353006362915
14,0.9345117807388306,0.9330065250396729,104,,,,,0.6200741529464722,
14,,,104,,,0.5759208798408508,,,
15,,,109,,,,0.5568755865097046,,
,,,30,,,,,,0.5815139412879944
,,,31,,,,,,0.6569692492485046
15,0.9345117807388306,0.9330065250396729,111,,,,,0.6096247434616089,
15,,,111,,,0.5644029378890991,,,
,,,32,,,,,,0.5778749585151672
,,,33,,,,,,0.6574668288230896
16,0.9584919810295105,0.9629629850387573,118,,,,,0.6075268387794495,
16,,,118,,,0.564710259437561,,,
17,,,119,,,,0.559150218963623,,
,,,34,,,,,,0.5886745452880859
,,,35,,,,,,0.6460108757019043
17,0.9345117807388306,0.9330065250396729,125,,,,,0.6100351214408875,
17,,,125,,,0.563633382320404,,,
18,,,129,,,,0.5540707111358643,,
,,,36,,,,,,0.59183669090271
,,,37,,,,,,0.6445537209510803
18,0.9345117807388306,0.9330065250396729,132,,,,,0.6114763617515564,
18,,,132,,,0.5625454187393188,,,
19,,,139,,,,0.5521833300590515,,
,,,38,,,,,,0.5949132442474365
,,,39,,,,,,0.6652580499649048
19,0.9178550243377686,0.9166666865348816,139,,,,,0.6211201548576355,
19,,,139,,,0.56107097864151,,,
,,,0,,0.5949132442474365,,,,
,,,1,,0.6652580499649048,,,,
20,,,140,0.6211201548576355,,,,,
