epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,,,0,,,,,,0.8642532825469971
,,,1,,,,,,1.100583553314209
0,0.2869592308998108,0.44680851697921753,6,,,,,0.9493321776390076,
0,,,6,,,1.0244758129119873,,,
1,,,9,,,,0.9213414192199707,,
,,,2,,,,,,0.7986244559288025
,,,3,,,,,,1.0882749557495117
1,0.8766458630561829,0.8928571343421936,13,,,,,0.9028986096382141,
1,,,13,,,0.9432970881462097,,,
2,,,19,,,,0.8611642122268677,,
,,,4,,,,,,0.7597901225090027
,,,5,,,,,,1.0723154544830322
2,0.8956214189529419,0.89682537317276,20,,,,,0.8722991943359375,
2,,,20,,,0.8759570717811584,,,
,,,6,,,,,,0.7324246764183044
,,,7,,,,,,1.0540850162506104
3,0.8744798302650452,0.8745098114013672,27,,,,,0.8482223749160767,
3,,,27,,,0.8214025497436523,,,
4,,,29,,,,0.7584528923034668,,
,,,8,,,,,,0.7059469819068909
,,,9,,,,,,1.0317414999008179
4,0.8932451009750366,0.8930555582046509,34,,,,,0.8232330083847046,
4,,,34,,,0.7861345410346985,,,
5,,,39,,,,0.7890796661376953,,
,,,10,,,,,,0.6901395916938782
,,,11,,,,,,1.0051813125610352
5,0.9153035879135132,0.9259259104728699,41,,,,,0.8035545945167542,
5,,,41,,,0.7563813924789429,,,
,,,12,,,,,,0.6817280054092407
,,,13,,,,,,0.9687108993530273
6,0.9332591891288757,0.9411764740943909,48,,,,,0.7850418090820312,
6,,,48,,,0.732924222946167,,,
7,,,49,,,,0.7450467348098755,,
,,,14,,,,,,0.6771472096443176
,,,15,,,,,,0.9216639399528503
7,0.9107142686843872,0.9259259104728699,55,,,,,0.7651731967926025,
7,,,55,,,0.713420033454895,,,
8,,,59,,,,0.6768426895141602,,
,,,16,,,,,,0.6652593016624451
,,,17,,,,,,0.8665705323219299
8,0.9332591891288757,0.9411764740943909,62,,,,,0.7377313375473022,
8,,,62,,,0.692902147769928,,,
9,,,69,,,,0.7016773819923401,,
,,,18,,,,,,0.6601814031600952
,,,19,,,,,,0.797392725944519
9,0.9107142686843872,0.9259259104728699,69,,,,,0.7095775008201599,
9,,,69,,,0.6693599224090576,,,
,,,20,,,,,,0.6534366011619568
,,,21,,,,,,0.7216975688934326
10,0.9351649284362793,0.942460298538208,76,,,,,0.6780105829238892,
10,,,76,,,0.6428239941596985,,,
11,,,79,,,,0.5834176540374756,,
,,,22,,,,,,0.664152979850769
,,,23,,,,,,0.6583716869354248
11,0.8901405334472656,0.9108734130859375,83,,,,,0.662071704864502,
11,,,83,,,0.6157961487770081,,,
12,,,89,,,,0.5965328812599182,,
,,,24,,,,,,0.6766398549079895
,,,25,,,,,,0.6128298044204712
12,0.9176309108734131,0.9342995285987854,90,,,,,0.653668224811554,
12,,,90,,,0.598566472530365,,,
,,,26,,,,,,0.6762830018997192
,,,27,,,,,,0.5887303948402405
13,0.9176309108734131,0.9342995285987854,97,,,,,0.6447641253471375,
13,,,97,,,0.5816912055015564,,,
14,,,99,,,,0.569705605506897,,
,,,28,,,,,,0.6831166744232178
,,,29,,,,,,0.5761104226112366
14,0.9176309108734131,0.9342995285987854,104,,,,,0.6445944309234619,
14,,,104,,,0.5727604627609253,,,
15,,,109,,,,0.557913064956665,,
,,,30,,,,,,0.6726568937301636
,,,31,,,,,,0.5669071674346924
15,0.9176309108734131,0.9342995285987854,111,,,,,0.6345869898796082,
15,,,111,,,0.5691209435462952,,,
,,,32,,,,,,0.6636027097702026
,,,33,,,,,,0.5634037852287292
16,0.9176309108734131,0.9342995285987854,118,,,,,0.627531111240387,
16,,,118,,,0.5641830563545227,,,
17,,,119,,,,0.5573925375938416,,
,,,34,,,,,,0.6696048378944397
,,,35,,,,,,0.5592700242996216
17,0.9176309108734131,0.9342995285987854,125,,,,,0.6298843026161194,
17,,,125,,,0.5634304285049438,,,
18,,,129,,,,0.5863720774650574,,
,,,36,,,,,,0.6632389426231384
,,,37,,,,,,0.5582400560379028
18,0.9422613978385925,0.95652174949646,132,,,,,0.6254393458366394,
18,,,132,,,0.5622627139091492,,,
19,,,139,,,,0.5647277235984802,,
,,,38,,,,,,0.6630058884620667
,,,39,,,,,,0.5568523406982422
19,0.9422613978385925,0.95652174949646,139,,,,,0.624790608882904,
19,,,139,,,0.5609549283981323,,,
,,,0,,0.6630058884620667,,,,
,,,1,,0.5568523406982422,,,,
20,,,140,0.624790608882904,,,,,
